Provience,Fuel Type,Count
Quebec,D-1 Leafless Aspen,88086496
Quebec,D-1/D-2 Aspen,370143645
Quebec,O-1a Matted Grass,114600798
Quebec,Non-fuel,22144973
Quebec,Water,207131362
Quebec,Vegetated Non-Fuel,46403508
Quebec,M-1 Boreal Mixedwood - Leafless (15% Conifer),21817167
Quebec,M-1/M-2 Boreal Mixedwood (25% Conifer),130322039
Quebec,M-1/M-2 Boreal Mixedwood (50% Conifer),39655512
Quebec,M-1/M-2 Boreal Mixedwood (75% Conifer),114483408
Saskatchewan,C-1 Spruce-Lichen Woodland,208013
Saskatchewan,C-2 Boreal Spruce,63151409
Saskatchewan,C-3 Mature Jack or Lodgepole Pine,25881706
Saskatchewan,C-4 Immature Jack or Lodgepole Pine,90312783
Saskatchewan,C-5 Red and White Pine,91
Saskatchewan,D-1 Leafless Aspen,45119532
Saskatchewan,D-1/D-2 Aspen,78483531
Saskatchewan,O-1a Matted Grass,246831590
Saskatchewan,Non-fuel,11647612
Saskatchewan,Water,73950441
Saskatchewan,Vegetated Non-Fuel,11546992
Saskatchewan,M-1 Boreal Mixedwood - Leafless (15% Conifer),535417
Saskatchewan,M-1/M-2 Boreal Mixedwood (25% Conifer),19112259
Saskatchewan,M-1/M-2 Boreal Mixedwood (50% Conifer),20938055
Saskatchewan,M-1/M-2 Boreal Mixedwood (75% Conifer),14551608
Yukon,C-1 Spruce-Lichen Woodland,578811
Yukon,C-2 Boreal Spruce,82211646
Yukon,C-3 Mature Jack or Lodgepole Pine,30422356
Yukon,C-4 Immature Jack or Lodgepole Pine,50593893
Yukon,D-1 Leafless Aspen,17015035
Yukon,D-1/D-2 Aspen,106385468
Yukon,O-1a Matted Grass,48602522
Yukon,Non-fuel,59567067
Yukon,Water,15371422
Yukon,Vegetated Non-Fuel,3488655
Yukon,M-1 Boreal Mixedwood - Leafless (15% Conifer),6542648
Yukon,M-1/M-2 Boreal Mixedwood (25% Conifer),36030274
Yukon,M-1/M-2 Boreal Mixedwood (50% Conifer),8327272
Yukon,M-1/M-2 Boreal Mixedwood (75% Conifer),40917089
