year,provience,C-1 Spruce-Lichen Woodland,C-2 Boreal Spruce,C-3 Mature Jack or Lodgepole Pine,C-4 Immature Jack or Lodgepole Pine,C-5 Red and White Pine,C-7 Ponderosa Pine / Douglas Fir,D-1 Leafless Aspen,D-1/D-2 Aspen,O-1a Matted Grass,Non-fuel,Water,Vegetated Non-Fuel,M-1 Boreal Mixedwood - Leafless (15% Conifer),M-1/M-2 Boreal Mixedwood (25% Conifer),M-1/M-2 Boreal Mixedwood (50% Conifer),M-1/M-2 Boreal Mixedwood (75% Conifer)
2010,Parks Canada,91,3074,6029,4773,20,2,6755,6439,5848,130,245,26206,1185,2564,7347,1090
2010,Newfoundland and Labrador,0,8549,0,0,0,0,85,186,872,68,162,0,0,270,53,91
2010,New Brunswick,0,19,2,22,0,0,1,0,0,0,0,0,0,73,13,9
2011,Ontario,8747,1083521,205597,1374394,8,0,43935,710064,138232,50107,50894,19921,205,426493,152126,716779
2011,Alberta,16662,405157,374053,3010214,2,0,959242,716542,191266,50851,23715,400646,4139,653051,725098,242425
2011,Northwest Territories,6629,95236,40676,493475,0,0,148519,666448,193246,5754,37426,28479,18685,350565,60660,73318
2011,Manitoba,761,34088,122337,182171,0,0,125974,316353,125398,4964,7246,3,13,188463,46295,45080
2011,British Columbia,29,632,11632,4769,1299,158,4191,10226,1655,733,1784,92097,1064,3243,355,532
2011,Saskatchewan,19105,181419,86724,1035334,0,0,51113,914777,99482,10727,23182,44636,4192,263316,56295,148711
2011,Yukon Territory,15,19983,27735,4502,0,0,33588,143209,12315,3635,229,364,19368,37239,5553,41295
2011,Parks Canada,5325,84941,29782,194818,245,0,82232,78891,36356,3484,29455,3922,1464,74658,85140,44152
2011,Quebec,80,13680,5340,11917,6,0,3328,118953,18661,585,5637,5756,13442,40824,1929,5838
2011,Nunavut,0,74,0,40,0,0,7,4570,41,0,0,0,0,31,5,20
2011,Newfoundland and Labrador,0,290,0,3,0,0,0,9343,538,87,94,0,0,931,10,8
2012,Saskatchewan,77,137050,149466,640492,0,0,34178,924930,96165,1913,20411,11220,1261,149975,57377,123098
2012,Manitoba,802,141081,72822,598955,0,0,112033,323329,293062,10243,20366,600,7,138045,90213,92756
2012,Yukon Territory,26,22962,33633,22858,0,0,23662,141734,47388,23786,1295,4357,5759,216337,2286,15973
2012,British Columbia,7873,52392,188557,79732,5473,1480,69211,89679,22800,13645,5504,96029,42206,176340,33017,13058
2012,Ontario,1567,154106,109040,254968,53,0,73511,208510,67883,16176,7223,16126,872,174870,88794,58790
2012,Northwest Territories,18035,189356,23334,142718,0,0,148141,697008,150311,24068,17616,88713,10342,376657,86082,63630
2012,Newfoundland and Labrador,642,303056,2,74,0,0,213,436579,207097,47437,20612,0,234,1058200,6655,3954
2012,Quebec,60,46720,9684,30026,1,0,27830,459705,33292,927,13712,25769,76711,104692,12901,15701
2012,Parks Canada,17516,242760,64805,242530,57,0,171395,206792,88472,8851,6288,329373,5204,185131,408988,98441
2012,Alberta,155703,794191,105090,300806,6,46,119882,824755,99684,20380,10396,146760,6938,451864,360896,149201
2012,Nunavut,0,0,0,0,0,0,0,32,55,0,0,0,0,8,0,0
2013,Yukon Territory,67,96307,186445,140374,0,0,253380,534075,81518,203554,3157,587,86087,105548,13896,90015
2013,Newfoundland and Labrador,87,188187,64,12589,0,0,1091,468061,60655,7026,25558,0,4125,165652,30080,40663
2013,Saskatchewan,1124,319530,313505,961304,0,0,15400,969233,133567,1160,35427,97045,5384,532775,27655,218504
2013,Northwest Territories,66702,521713,51061,448003,0,0,281666,1149224,661351,74329,41179,496428,40571,511272,287581,192350
2013,Manitoba,40409,599403,105603,1059355,0,0,37237,5490287,1258359,14313,123073,11,12,1499787,143797,962369
2013,Parks Canada,357,21054,50142,91362,14,2,24885,96134,70269,22013,2816,178959,12088,38968,25108,14328
2013,Quebec,6063,2027646,65903,1286689,0,0,144177,10626897,389242,43449,550016,479280,509182,3123464,890050,598856
2013,Ontario,10801,61879,24909,23680,0,0,13875,172610,41592,2943,3489,0,1,61418,23930,18806
2013,British Columbia,77,2361,31318,43310,4232,1972,4923,31309,13101,2981,967,4497,9383,19163,905,4482
2013,Alberta,4075,21731,13968,23174,1,1,9937,24550,7274,7942,590,8880,169,72222,7219,5915
2013,Nova Scotia,0,354,47,291,0,0,356,503,193,253,26,3,1,133,406,517
2013,Nunavut,0,2,0,0,0,0,0,866,510,3,0,0,0,11,0,0
2014,Northwest Territories,88597,1927371,1108229,5673326,0,0,761512,7326408,2970671,1262792,547277,1238756,10036,4671029,1001416,1161089
2014,Saskatchewan,814,122244,561082,1098887,0,0,51348,772656,114744,3730,32981,64795,2129,269331,44992,172282
2014,Quebec,201,38462,1532,34828,3,0,723,206423,14422,1354,5504,1455,10533,216358,16995,32691
2014,Manitoba,1233,24255,30119,134297,0,0,3448,77048,15703,1737,3898,263,15,27105,3953,46833
2014,British Columbia,311,30930,1305868,1178385,19046,3583,16201,217068,161172,16893,5661,99899,180060,132436,47069,69107
2014,Alberta,355,24100,49388,50587,14,0,21730,37465,8919,15394,852,44684,2019,22693,17819,6345
2014,Parks Canada,7988,115631,112447,370206,137,80,96564,374885,293734,50111,15644,475787,3569,137043,102542,77747
2014,Newfoundland and Labrador,452,42389,30,151,0,0,198,56604,16962,5215,2617,38,150,132918,1185,1630
2014,Nova Scotia,0,1222,73,476,0,0,569,390,325,223,378,24,4,230,1281,957
2014,Nunavut,0,40,0,0,0,0,0,27556,1329,14,400,0,0,22,0,0
2014,Ontario,907,20206,23977,18514,0,0,5686,24348,16867,1588,659,8437,0,5198,4352,3124
2014,Yukon Territory,21,1141,299,148,0,0,3681,5627,650,18,6,0,576,20765,153,527
2014,New Brunswick,0,115,4,13,0,0,215,70,254,235,6,0,1,99,120,36
